Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_Techstack,Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Problem_Solving_Style,Recommended_Career
"Human Computer Interaction, Bioinformatics, Quality Assurance / Testing",Hybrid,6.9,"Conflict Resolution, Communication, Attention to Detail, Accountability, Analytical Thinking","Julia, C++","PostgreSQL, PyTorch, Hadoop, Sketch","Tableau Desktop Specialist, AWS Certified Security Specialty",True,True,8,"Blogging, Teaching/TA Work, Online Coding Contests","Cryptography, Biology, Robotics, Big Data Analytics",0,Analytical,Cybersecurity Analyst
Networking,On-site,6.4,"Leadership, Time Management, Active Listening, Negotiation","MATLAB, C#","Git, Terraform, Grafana","Google Cloud Associate Cloud Engineer, Microsoft Certified Azure Fundamentals, AWS Certified Cloud Practitioner, AWS Certified Solutions Architect - Associate",False,False,3,"UI/UX Projects, Public Speaking","Technical Communication, Project Management, Entrepreneurship, Cloud Computing",3,Strategic Thinking,Cloud Engineer
"Human Computer Interaction, Mobile App Development, Academic Research",Remote,6.7,"Decision Making, Communication, Multitasking",,"Gradle, PostgreSQL, Vue.js, Android Studio, Swagger","SAFe Agilist Certification, Google UX Design Certificate, AWS Certified Security Specialty",False,False,4,"Open Source Contributions, AR/VR Projects, Animation Design, Graphic Design","Object-Oriented Programming, Software Engineering",0,Problem Solving,Mobile Developer (Android)
"UI/UX Design, Embedded Systems, Frontend Development",On-site,7.2,"Empathy, Communication, Adaptability","HTML, CSS","Figma, Sketch, Adobe XD","Microsoft Certified Azure Fundamentals, Cisco CCNA, ISTQB Foundation Level",True,True,2,"Gaming, Student Government","IoT (Internet of Things), User Interface Design, Graphic Design, Web Technologies",4,"Detail-Oriented, Creative",UI/UX Designer
"Project Management, Software Engineering",Remote,7.5,Time Management,,"Node.js, PostgreSQL, Flutter, JUnit, React",,True,True,0,"Club Leadership Roles, Student Government","Entrepreneurship, Project Management",2,"Pragmatic, Systematic",AI Ethicist
"Natural Language Processing, Platform Engineering, Digital Marketing",On-site,6.5,"Teamwork, Negotiation, Customer Focus, Goal-Oriented Mindset",Ruby,"Vue.js, Mocha, Prometheus, MySQL, Canva",Google Cloud Associate Cloud Engineer,True,True,1,"Public Speaking, Video Editing, UI/UX Projects","Calculus, Ethical Hacking, Artificial Intelligence",0,"Systematic, Analytical",MS in Data Science
"Consulting, Big Data",On-site,7.8,Strategic Thinking,,"ELK Stack, Cypress, Sketch, Flutter","Linux Foundation Certified Kubernetes Admin, HashiCorp Certified: Terraform Associate, Kubernetes Certified Administrator (CKA)",False,False,4,,"Linear Algebra, Data Structures and Algorithms, User Interface Design",4,Detail-Oriented,Database Administrator
"UI/UX Design, Cloud Computing",On-site,7.4,"Leadership, Attention to Detail, Business Communication","Dart, Python","Bitbucket, GCP, Swagger, Google Colab, Jira","Deep Learning Specialization (Coursera), Microsoft Certified: Power BI Data Analyst Associate, Certified Ethical Hacker (CEH)",False,True,5,Case Competitions,"Chemistry, Ethical Hacking, Software Engineering",2,"Detail-Oriented, Analytical",Big Data Engineer
"Data Science, Software Engineering",Hybrid,9.1,"Accountability, Leadership, Strategic Thinking, Critical Thinking",PHP,"Pandas, Google Colab, Airflow, Jira",Cisco CCNA,False,False,6,"Entrepreneurship Clubs, Case Competitions, Robotics Competitions, 3D Modeling","Machine Learning, Computer Vision",3,"Creative, Innovative",Technical Consultant
"Database Engineering, Software Engineering",Remote,7.8,Empathy,,"Jenkins, Docker, Flask, AWS","AWS Certified Cloud Practitioner, Microsoft Certified: SQL Associate",False,False,3,"Gaming, Blogging, Volunteering","Cloud Computing, Data Structures and Algorithms, Software Engineering",1,"Systematic, Data-driven",Software Developer (Backend)
"Backend Development, Networking, Computer Vision",On-site,8.9,"Analytical Thinking, Empathy, Goal-Oriented Mindset, Strategic Thinking","HTML, Kotlin, Haskell","Jenkins, Cypress, Kubernetes, Adobe XD, Jira","Google Cloud Associate Cloud Engineer, AWS Certified Security Specialty, AWS Certified Cloud Practitioner",True,True,1,Robotics Competitions,"Theory of Computation, Linear Algebra, Cyber Security",2,"User-Centered, Analytical",Technical Program Manager (TPM)
"Systems Programming, Mobile App Development, Consulting",On-site,7.6,"Emotional Intelligence, Critical Thinking, Empathy, Teamwork, Presentation Skills",Python,"Airflow, NumPy, Angular, MongoDB",Google UX Design Certificate,False,False,8,"Innovation Challenges, Music, Startup Ideation Events, Graphic Design","Technical Communication, Probability and Statistics",2,"Data-driven, Strategic",Bioinformatics Engineer
Site Reliability Engineering (SRE),On-site,7.8,Negotiation,"MATLAB, Dart","React Native, Sketch, Kubernetes","Certified Ethical Hacker (CEH), Cisco CCNA",True,True,3,Blogging,"Cloud Infrastructure, Ethical Hacking, Operating Systems",1,Experimental,Software Test Automation Engineer
"Mobile App Development, Software Engineering",Hybrid,9.9,"Planning and Organization, Customer Focus, Resilience","TypeScript, Swift","Vue.js, Unreal Engine, DBT, Core Data, Xcode, Confluence",Certified Ethical Hacker (CEH),True,False,5,,"Theory of Computation, Object-Oriented Programming, Cloud Computing",0,Detail-Oriented,Mobile Developer (iOS)
"Deep Learning, Cybersecurity",Remote,9.0,"Accountability, Collaboration, Goal-Oriented Mindset, Critical Thinking, Problem Solving","Go, C++, Dart","Jira, Tableau, Flutter, PyCharm",Google UX Design Certificate,True,True,4,"Music, Student Government, Robotics Competitions","Linear Algebra, Psychology",2,"Detail-Oriented, User-Centered",MS in Computer Science
"UI/UX Design, Human Computer Interaction, Software Engineering",Hybrid,6.8,"Goal-Oriented Mindset, Planning and Organization, Decision Making","Julia, TypeScript, HTML, R","Terraform, Express.js","Deep Learning Specialization (Coursera), AWS Certified Cloud Practitioner",False,False,4,"Startup Ideation Events, Innovation Challenges, Open Source Contributions","Human Computer Interaction, Data Structures and Algorithms, Economics, Project Management",3,"Analytical, Big Picture Thinker",Solutions Architect
"Ethical Hacking, Backend Development",Remote,8.7,"Work Ethic, Emotional Intelligence, Adaptability, Goal-Oriented Mindset, Conflict Resolution","PHP, Lisp","Jupyter Notebook, Postman, Mocha",,False,False,0,"Case Competitions, Volunteering, Community Service, Sports","Physics, Entrepreneurship",4,Strategic,Blockchain Developer
